customer_id,total_spent,number_of_orders,days_since_last_purchase,avg_order_value,customer_segment,churned
CUST_10113,187.01,7,6,26.72,Medium Value,0
CUST_03165,186.96,7,69,26.71,Medium Value,1
CUST_05699,186.41,7,80,26.63,Medium Value,0
CUST_06000,185.7,7,30,26.53,Medium Value,1
CUST_01329,173.54,7,24,24.79,Medium Value,0
CUST_07792,171.95,7,6,24.56,Medium Value,0
CUST_09280,167.15,7,19,23.88,Medium Value,0
CUST_10220,164.76,7,30,23.54,Medium Value,0
CUST_06008,158.19,7,10,22.6,Medium Value,0
CUST_02661,158.02,7,4,22.57,Medium Value,0
CUST_03613,151.41,7,43,21.63,Medium Value,0
CUST_01411,144.37,7,2,20.62,Medium Value,0
CUST_03125,143.78,7,11,20.54,Medium Value,0
CUST_11079,128.36,7,36,18.34,Medium Value,0
CUST_02581,128.28,7,35,18.33,Medium Value,0
CUST_06393,125.87,7,21,17.98,Medium Value,0
CUST_02243,119.76,7,19,17.11,Medium Value,0
CUST_07989,114.74,7,34,16.39,Medium Value,0
CUST_01594,112.61,7,7,16.09,Medium Value,1
CUST_01540,110.77,7,14,15.82,Medium Value,0
CUST_05856,108.22,7,23,15.46,Medium Value,0
CUST_05304,105.57,7,28,15.08,Medium Value,0
CUST_08434,101.42,7,5,14.49,Medium Value,1
CUST_09308,100.95,7,61,14.42,Medium Value,0
CUST_01523,99.74,7,54,14.25,Low Value,0
CUST_11586,96.28,7,49,13.75,Low Value,0
CUST_02249,95.83,7,41,13.69,Low Value,0
CUST_05100,91.57,7,43,13.08,Low Value,0
CUST_07948,90.16,7,9,12.88,Low Value,0
CUST_08139,84.69,7,4,12.1,Low Value,0
CUST_10570,82.98,7,31,11.85,Low Value,0
CUST_04100,82.01,7,3,11.72,Low Value,0
CUST_07370,78.69,7,40,11.24,Low Value,0
CUST_01770,77.27,7,42,11.04,Low Value,0
CUST_01659,76.71,7,3,10.96,Low Value,0
CUST_00186,74.88,7,11,10.7,Low Value,0
CUST_04002,74.5,7,41,10.64,Low Value,0
CUST_04269,65.04,7,16,9.29,Low Value,0
CUST_06950,64.84,7,8,9.26,Low Value,0
CUST_02236,59.02,7,39,8.43,Low Value,0
CUST_10786,56.39,7,28,8.06,Low Value,0
CUST_08385,52.8,7,3,7.54,Low Value,0
CUST_11097,52.68,7,10,7.53,Low Value,0
CUST_06599,49.87,7,24,7.12,Low Value,0
CUST_07672,49.11,7,2,7.02,Low Value,0
CUST_09482,45.52,7,13,6.5,Low Value,0
CUST_02226,42.4,7,63,6.06,Low Value,0
CUST_09597,41.72,7,21,5.96,Low Value,0
CUST_00878,41.06,7,6,5.87,Low Value,0
CUST_06601,35.31,7,91,5.04,Low Value,1
CUST_06329,34.73,7,53,4.96,Low Value,0
CUST_00354,29.18,7,79,4.17,Low Value,0
CUST_11692,26.39,7,33,3.77,Low Value,0
CUST_11246,25.45,7,29,3.64,Low Value,1
CUST_07893,24.95,7,12,3.56,Low Value,0
CUST_04087,24.47,7,82,3.5,Low Value,0
CUST_04982,22.39,7,7,3.2,Low Value,0
CUST_08116,21.05,7,38,3.01,Low Value,0
CUST_00842,20.64,7,88,2.95,Low Value,1
CUST_03911,19.23,7,130,2.75,Low Value,1
CUST_08957,18.48,7,5,2.64,Low Value,0
CUST_06762,13.42,7,8,1.92,Low Value,0
CUST_11301,12.08,7,101,1.73,Low Value,1
CUST_01904,11.22,7,22,1.6,Low Value,0
CUST_05173,9.14,7,16,1.31,Low Value,0
CUST_06614,8.91,7,26,1.27,Low Value,0
CUST_05727,7.36,7,10,1.05,Low Value,1
CUST_08784,3.25,7,76,0.46,Low Value,0
CUST_06670,2.65,7,54,0.38,Low Value,0
CUST_05755,1322.08,6,12,220.35,High Value,0
CUST_03893,937.79,6,15,156.3,High Value,0
CUST_01349,823.51,6,25,137.25,High Value,0
CUST_03382,814.31,6,46,135.72,High Value,0
CUST_03691,800.54,6,35,133.42,High Value,0
CUST_01632,772.58,6,18,128.76,High Value,1
CUST_02393,766.72,6,9,127.79,High Value,0
CUST_05553,730.99,6,26,121.83,High Value,0
CUST_02924,728.41,6,50,121.4,High Value,0
CUST_10311,701.2,6,0,116.87,High Value,1
CUST_05284,681.78,6,8,113.63,High Value,0
CUST_07482,674.91,6,25,112.49,High Value,0
CUST_03600,661.93,6,45,110.32,High Value,0
CUST_05770,652.5,6,144,108.75,High Value,1
CUST_06568,644.4,6,5,107.4,High Value,0
CUST_01708,635.4,6,18,105.9,High Value,0
CUST_11253,627.75,6,17,104.63,High Value,0
CUST_08046,554.7,6,57,92.45,High Value,0
CUST_04172,526.08,6,96,87.68,High Value,0
CUST_00790,519.69,6,7,86.62,High Value,0
CUST_05888,515.65,6,17,85.94,High Value,0
CUST_04141,508.55,6,39,84.76,High Value,0
CUST_04257,507.26,6,2,84.54,High Value,1
CUST_09071,498.22,6,40,83.04,Medium Value,0
CUST_03253,497.09,6,1,82.85,Medium Value,0
CUST_03858,493.39,6,6,82.23,Medium Value,1
CUST_09626,472.09,6,19,78.68,Medium Value,0
CUST_03320,469.49,6,10,78.25,Medium Value,0
CUST_10732,466.51,6,62,77.75,Medium Value,0
CUST_06767,464.92,6,59,77.49,Medium Value,0
CUST_03547,464.15,6,93,77.36,Medium Value,0
CUST_02208,458.27,6,6,76.38,Medium Value,0
CUST_01592,432.01,6,77,72,Medium Value,0
CUST_00743,425.62,6,2,70.94,Medium Value,0
CUST_05310,424.42,6,16,70.74,Medium Value,0
CUST_02858,413.52,6,64,68.92,Medium Value,0
CUST_04674,412.71,6,37,68.79,Medium Value,0
CUST_08115,394.09,6,1,65.68,Medium Value,0
CUST_05669,385.87,6,47,64.31,Medium Value,0
CUST_01413,384.61,6,5,64.1,Medium Value,0
CUST_00216,381.54,6,17,63.59,Medium Value,0
CUST_01690,370.22,6,5,61.7,Medium Value,0
CUST_09564,364.8,6,64,60.8,Medium Value,0
CUST_04525,361.77,6,50,60.29,Medium Value,0
CUST_05377,361.71,6,86,60.29,Medium Value,0
CUST_07346,359.99,6,2,60,Medium Value,0
CUST_09325,352.95,6,4,58.82,Medium Value,0
CUST_01869,340.09,6,138,56.68,Medium Value,1
CUST_02496,335.89,6,8,55.98,Medium Value,0
CUST_03977,334.01,6,16,55.67,Medium Value,0
CUST_11754,333.06,6,0,55.51,Medium Value,0
CUST_08961,327.56,6,20,54.59,Medium Value,0
CUST_06765,325.58,6,10,54.26,Medium Value,0
CUST_11243,325.09,6,3,54.18,Medium Value,0
CUST_02844,319.91,6,9,53.32,Medium Value,0
CUST_03939,318.51,6,18,53.09,Medium Value,1
CUST_02771,318.47,6,27,53.08,Medium Value,0
CUST_02759,313.62,6,7,52.27,Medium Value,0
CUST_03650,310.33,6,37,51.72,Medium Value,0
CUST_10142,303.89,6,11,50.65,Medium Value,0
CUST_04467,302.06,6,17,50.34,Medium Value,0
CUST_01603,299.76,6,29,49.96,Medium Value,0
CUST_08783,296.61,6,71,49.44,Medium Value,0
CUST_04480,294.59,6,12,49.1,Medium Value,0
CUST_10224,290.55,6,81,48.43,Medium Value,0
CUST_00353,286.57,6,3,47.76,Medium Value,0
CUST_04913,280.33,6,48,46.72,Medium Value,0
CUST_05211,276.13,6,18,46.02,Medium Value,1
CUST_05227,271.46,6,34,45.24,Medium Value,1
CUST_09026,266.75,6,5,44.46,Medium Value,0
CUST_01169,265.74,6,3,44.29,Medium Value,0
CUST_01613,264.81,6,13,44.14,Medium Value,0
CUST_06452,263.72,6,16,43.95,Medium Value,0
CUST_01733,263.25,6,53,43.88,Medium Value,0
CUST_05707,255.73,6,1,42.62,Medium Value,0
CUST_07434,253.89,6,104,42.32,Medium Value,0
CUST_01208,252.48,6,10,42.08,Medium Value,0
CUST_11980,252.46,6,25,42.08,Medium Value,0
CUST_02616,242.5,6,7,40.42,Medium Value,0
CUST_01763,239.1,6,12,39.85,Medium Value,0
CUST_01210,238.17,6,10,39.7,Medium Value,0
CUST_02332,237.12,6,24,39.52,Medium Value,0
CUST_03940,234.27,6,7,39.05,Medium Value,0
CUST_10299,232.52,6,80,38.75,Medium Value,0
CUST_07229,231.62,6,64,38.6,Medium Value,0
CUST_09632,231.57,6,4,38.6,Medium Value,0
CUST_06133,230.96,6,0,38.49,Medium Value,0
CUST_11325,230.42,6,1,38.4,Medium Value,0
CUST_07618,226.19,6,13,37.7,Medium Value,0
CUST_03935,225.48,6,54,37.58,Medium Value,0
CUST_06232,225.21,6,5,37.54,Medium Value,0
CUST_00190,224.3,6,44,37.38,Medium Value,0
CUST_07030,222.06,6,32,37.01,Medium Value,0
CUST_00022,220.55,6,5,36.76,Medium Value,0
CUST_04018,219.58,6,7,36.6,Medium Value,0
CUST_08696,218.65,6,16,36.44,Medium Value,0
CUST_05346,216.33,6,18,36.06,Medium Value,1
CUST_09407,211.5,6,46,35.25,Medium Value,0
CUST_03856,210.84,6,11,35.14,Medium Value,0
CUST_08882,209.17,6,15,34.86,Medium Value,0
CUST_10322,206.18,6,10,34.36,Medium Value,1
CUST_02053,203.22,6,66,33.87,Medium Value,1
CUST_06054,202.78,6,37,33.8,Medium Value,0
CUST_11660,201.22,6,17,33.54,Medium Value,0
CUST_07836,200.01,6,80,33.34,Medium Value,0
CUST_07703,198.8,6,5,33.13,Medium Value,0
CUST_06616,197.43,6,57,32.91,Medium Value,0
CUST_04863,196.74,6,71,32.79,Medium Value,0
CUST_06563,192.09,6,5,32.02,Medium Value,0
CUST_00425,181.9,6,45,30.32,Medium Value,1
CUST_05604,181.58,6,39,30.26,Medium Value,0
CUST_09379,179.75,6,3,29.96,Medium Value,0
CUST_00121,179.24,6,19,29.87,Medium Value,0
CUST_00764,178.47,6,52,29.75,Medium Value,0
CUST_11215,176.67,6,45,29.44,Medium Value,0
CUST_04242,176.63,6,2,29.44,Medium Value,0
CUST_06823,176.02,6,10,29.34,Medium Value,0
CUST_11415,175.67,6,31,29.28,Medium Value,0
CUST_08959,175.4,6,136,29.23,Medium Value,1
CUST_11377,174.17,6,18,29.03,Medium Value,0
CUST_04720,173.78,6,69,28.96,Medium Value,0
CUST_08594,172.21,6,32,28.7,Medium Value,0
CUST_06299,171.87,6,21,28.65,Medium Value,0
CUST_02155,171.17,6,26,28.53,Medium Value,0
CUST_04869,170.92,6,35,28.49,Medium Value,0
CUST_09438,170.88,6,2,28.48,Medium Value,0
CUST_01773,168.11,6,20,28.02,Medium Value,0
CUST_07469,167.81,6,204,27.97,Medium Value,1
CUST_04689,167.59,6,8,27.93,Medium Value,0
CUST_07374,162.83,6,9,27.14,Medium Value,0
CUST_06383,161.89,6,18,26.98,Medium Value,0
CUST_04228,161.2,6,24,26.87,Medium Value,1
CUST_01576,158.73,6,42,26.46,Medium Value,0
CUST_08942,158.07,6,33,26.35,Medium Value,0
CUST_03882,156.29,6,8,26.05,Medium Value,0
CUST_10737,156.09,6,11,26.02,Medium Value,0
CUST_09413,154.88,6,11,25.81,Medium Value,1
CUST_09418,154.82,6,26,25.8,Medium Value,0
CUST_09940,153.8,6,136,25.63,Medium Value,0
CUST_09613,150.9,6,19,25.15,Medium Value,0
CUST_07185,145.06,6,4,24.18,Medium Value,0
CUST_08498,144.98,6,3,24.16,Medium Value,0
CUST_11624,144.87,6,23,24.15,Medium Value,0
CUST_10026,144.8,6,31,24.13,Medium Value,1
CUST_01874,144.73,6,12,24.12,Medium Value,0
CUST_11903,143.9,6,9,23.98,Medium Value,0
CUST_09563,142.87,6,1,23.81,Medium Value,0
CUST_02963,141.31,6,0,23.55,Medium Value,1
CUST_11587,140.77,6,3,23.46,Medium Value,0
CUST_01548,137.31,6,9,22.89,Medium Value,0
CUST_07775,135.46,6,23,22.58,Medium Value,0
CUST_01707,135.27,6,20,22.55,Medium Value,0
CUST_11016,134.01,6,7,22.33,Medium Value,0
CUST_04375,131.74,6,41,21.96,Medium Value,1
CUST_06093,130.76,6,6,21.79,Medium Value,0
CUST_10668,129.83,6,6,21.64,Medium Value,0
CUST_03910,129.24,6,17,21.54,Medium Value,0
CUST_04019,128.29,6,17,21.38,Medium Value,1
CUST_01032,128.05,6,41,21.34,Medium Value,0
CUST_01155,125.19,6,5,20.87,Medium Value,0
CUST_04208,122.65,6,22,20.44,Medium Value,0
CUST_10770,122.64,6,25,20.44,Medium Value,0
CUST_03123,122.2,6,9,20.37,Medium Value,0
CUST_09970,122.03,6,37,20.34,Medium Value,0
CUST_03362,122.01,6,10,20.34,Medium Value,1
CUST_03604,121.58,6,9,20.26,Medium Value,0
CUST_08912,120.95,6,15,20.16,Medium Value,0
CUST_05298,119.17,6,19,19.86,Medium Value,1
CUST_06255,117.13,6,19,19.52,Medium Value,0
CUST_00701,116.47,6,35,19.41,Medium Value,0
CUST_08423,115.88,6,18,19.31,Medium Value,0
CUST_06966,115.36,6,62,19.23,Medium Value,0
CUST_07401,115.02,6,93,19.17,Medium Value,0
CUST_09514,114.34,6,90,19.06,Medium Value,0
CUST_00531,114.05,6,16,19.01,Medium Value,0
CUST_04391,114.01,6,11,19,Medium Value,0
CUST_10932,113.55,6,56,18.93,Medium Value,0
CUST_06111,108.25,6,25,18.04,Medium Value,0
CUST_10485,105.57,6,13,17.6,Medium Value,0
CUST_10221,104.26,6,0,17.38,Medium Value,0
CUST_10620,102.84,6,9,17.14,Medium Value,0
CUST_02542,100.23,6,10,16.71,Medium Value,0
CUST_05252,100.06,6,9,16.68,Medium Value,0
CUST_10415,99.1,6,25,16.52,Low Value,0
CUST_00433,98.48,6,7,16.41,Low Value,0
CUST_05651,97.85,6,12,16.31,Low Value,0
CUST_03993,97.1,6,122,16.18,Low Value,0
CUST_00571,96.1,6,7,16.02,Low Value,0
CUST_07697,95.44,6,4,15.91,Low Value,1
CUST_07662,95.24,6,40,15.87,Low Value,0
CUST_02196,94.44,6,48,15.74,Low Value,0
CUST_07123,94.41,6,11,15.74,Low Value,0
CUST_08601,92.37,6,2,15.4,Low Value,0
CUST_00009,91.98,6,14,15.33,Low Value,0
CUST_06424,91.98,6,46,15.33,Low Value,0
CUST_09930,91.41,6,16,15.24,Low Value,0
CUST_11633,90.53,6,77,15.09,Low Value,0
CUST_05184,89.49,6,5,14.92,Low Value,1
CUST_04532,88.65,6,0,14.78,Low Value,0
CUST_06483,87.04,6,15,14.51,Low Value,0
CUST_02666,86.76,6,5,14.46,Low Value,0
CUST_06646,86.22,6,10,14.37,Low Value,0
CUST_02435,85.59,6,47,14.27,Low Value,0
CUST_07942,83.18,6,34,13.86,Low Value,0
CUST_08189,82.31,6,27,13.72,Low Value,1
CUST_02559,82.05,6,37,13.67,Low Value,0
CUST_01687,78.83,6,55,13.14,Low Value,0
CUST_01521,78.1,6,17,13.02,Low Value,0
CUST_02516,76.78,6,37,12.8,Low Value,0
CUST_08280,74.4,6,5,12.4,Low Value,0
CUST_01115,73.46,6,3,12.24,Low Value,0
CUST_04923,72.51,6,8,12.09,Low Value,0
CUST_04450,71.16,6,44,11.86,Low Value,0
CUST_07842,69.49,6,9,11.58,Low Value,0
CUST_04658,68.79,6,2,11.47,Low Value,0
CUST_04965,68.21,6,83,11.37,Low Value,1
CUST_11716,66.79,6,4,11.13,Low Value,1
CUST_09117,66.51,6,5,11.09,Low Value,0
CUST_11472,65.49,6,14,10.92,Low Value,0
CUST_02386,65.24,6,6,10.87,Low Value,0
CUST_09186,65.01,6,5,10.84,Low Value,0
CUST_04776,64.84,6,30,10.81,Low Value,0
CUST_01362,62.46,6,19,10.41,Low Value,0
CUST_10018,62.3,6,63,10.38,Low Value,0
CUST_11683,60.97,6,13,10.16,Low Value,0
CUST_07404,59.61,6,27,9.94,Low Value,1
CUST_07566,54.84,6,7,9.14,Low Value,0
CUST_05744,54.68,6,27,9.11,Low Value,0
CUST_00458,54.27,6,23,9.05,Low Value,0
CUST_06729,52,6,2,8.67,Low Value,0
CUST_01907,49.55,6,0,8.26,Low Value,0
CUST_01430,49.48,6,37,8.25,Low Value,0
CUST_11118,49.27,6,52,8.21,Low Value,0
CUST_02120,48.59,6,31,8.1,Low Value,1
CUST_06605,47.95,6,20,7.99,Low Value,0
CUST_11813,47.7,6,31,7.95,Low Value,0
CUST_07572,47.53,6,0,7.92,Low Value,0
CUST_11632,46.31,6,4,7.72,Low Value,0
CUST_12000,46,6,24,7.67,Low Value,0
CUST_00301,43.86,6,14,7.31,Low Value,0
CUST_04751,42.43,6,5,7.07,Low Value,0
CUST_09204,41.82,6,18,6.97,Low Value,0
CUST_01077,41.75,6,2,6.96,Low Value,0
CUST_01215,41.35,6,17,6.89,Low Value,0
CUST_09375,40.81,6,17,6.8,Low Value,0
CUST_00365,39.92,6,38,6.65,Low Value,0
CUST_01142,37.84,6,7,6.31,Low Value,0
CUST_09841,36.76,6,1,6.13,Low Value,0
CUST_00369,34.14,6,30,5.69,Low Value,0
CUST_04111,33.44,6,64,5.57,Low Value,0
CUST_07412,32.14,6,0,5.36,Low Value,0
CUST_07960,32.07,6,1,5.35,Low Value,0
CUST_06914,31.59,6,35,5.27,Low Value,0
CUST_03279,31.25,6,118,5.21,Low Value,1
CUST_08452,31.04,6,13,5.17,Low Value,0
CUST_01109,30.86,6,90,5.14,Low Value,0
CUST_03226,30.61,6,75,5.1,Low Value,0
CUST_02657,30.38,6,29,5.06,Low Value,0
CUST_10834,30.16,6,103,5.03,Low Value,0
CUST_01098,28.44,6,14,4.74,Low Value,0
CUST_04432,27.76,6,6,4.63,Low Value,0
CUST_10663,27.62,6,4,4.6,Low Value,0
CUST_10548,27.12,6,30,4.52,Low Value,0
CUST_02434,26.79,6,51,4.47,Low Value,0
CUST_03400,25.91,6,8,4.32,Low Value,0
CUST_11914,25.6,6,16,4.27,Low Value,0
CUST_03421,25.11,6,71,4.19,Low Value,0
CUST_09018,24.61,6,0,4.1,Low Value,0
CUST_00556,23.37,6,34,3.9,Low Value,0
CUST_11052,22.36,6,22,3.73,Low Value,0
CUST_02773,21.44,6,6,3.57,Low Value,0
CUST_03997,21.24,6,55,3.54,Low Value,0
CUST_09850,19.76,6,32,3.29,Low Value,0
CUST_11031,19.55,6,9,3.26,Low Value,0
CUST_02683,19.24,6,25,3.21,Low Value,0
CUST_05935,19.05,6,75,3.18,Low Value,0
CUST_07658,18.77,6,126,3.13,Low Value,1
CUST_05710,18.5,6,6,3.08,Low Value,0
CUST_04727,17.6,6,15,2.93,Low Value,1
CUST_04815,17.19,6,4,2.87,Low Value,0
CUST_00126,16.19,6,1,2.7,Low Value,1
CUST_04760,16.11,6,27,2.69,Low Value,0
CUST_05506,14.48,6,34,2.41,Low Value,1
CUST_10337,14.03,6,7,2.34,Low Value,0
CUST_04114,14,6,53,2.33,Low Value,0
CUST_03435,13.52,6,1,2.25,Low Value,0
CUST_04075,13.51,6,94,2.25,Low Value,1
CUST_08225,13.1,6,40,2.18,Low Value,1
CUST_00600,12.28,6,81,2.05,Low Value,0
CUST_11917,11.62,6,49,1.94,Low Value,0
CUST_01382,11.5,6,17,1.92,Low Value,0
CUST_08124,11.04,6,31,1.84,Low Value,0
CUST_05869,10.99,6,1,1.83,Low Value,0
CUST_03069,10.58,6,16,1.76,Low Value,1
CUST_11466,9.28,6,20,1.55,Low Value,0
CUST_01272,9.1,6,0,1.52,Low Value,0
CUST_04998,8.86,6,8,1.48,Low Value,0
CUST_04418,8.75,6,13,1.46,Low Value,1
CUST_08188,8.06,6,12,1.34,Low Value,0
CUST_07495,7.78,6,40,1.3,Low Value,0
CUST_04155,7.58,6,26,1.26,Low Value,0
CUST_00450,6.49,6,0,1.08,Low Value,0
CUST_09364,6.45,6,2,1.08,Low Value,0
CUST_10825,6.33,6,18,1.06,Low Value,0
CUST_07272,5.29,6,8,0.88,Low Value,0
CUST_04883,5.01,6,9,0.84,Low Value,0
CUST_05272,4.21,6,35,0.7,Low Value,0
CUST_07011,3.55,6,23,0.59,Low Value,0
CUST_00789,2.57,6,18,0.43,Low Value,0
CUST_02678,2.02,6,9,0.34,Low Value,0
CUST_10544,1.78,6,9,0.3,Low Value,0
CUST_09148,0.8,6,38,0.13,Low Value,1
CUST_02976,0.3,6,11,0.05,Low Value,0
CUST_06692,1502.14,5,58,300.43,High Value,0
CUST_11096,1318.15,5,29,263.63,High Value,0
CUST_10202,1268.35,5,34,253.67,High Value,0
CUST_00493,1253.39,5,144,250.68,High Value,1
CUST_06955,1234.29,5,40,246.86,High Value,0
CUST_02020,1187.67,5,11,237.53,High Value,0
CUST_00339,1118.19,5,87,223.64,High Value,0
CUST_06257,1112.47,5,2,222.49,High Value,0
CUST_09902,1089.1,5,12,217.82,High Value,0
CUST_03765,1038.28,5,58,207.66,High Value,0
CUST_06218,1008.79,5,78,201.76,High Value,0
CUST_05403,987.59,5,53,197.52,High Value,0
CUST_11581,979.86,5,22,195.97,High Value,0
CUST_05188,956.75,5,14,191.35,High Value,0
CUST_02492,956.19,5,19,191.24,High Value,0
CUST_00688,872.35,5,7,174.47,High Value,0
CUST_07089,846.73,5,64,169.35,High Value,0
CUST_11857,821.17,5,61,164.23,High Value,0
CUST_04370,812.88,5,9,162.58,High Value,0
CUST_02311,767.13,5,63,153.43,High Value,1
CUST_03199,766.18,5,109,153.24,High Value,0
CUST_02753,735.53,5,47,147.11,High Value,0
CUST_00884,727.6,5,27,145.52,High Value,0
CUST_02624,725.57,5,64,145.11,High Value,0
CUST_01816,715.06,5,105,143.01,High Value,1
CUST_08742,709.51,5,7,141.9,High Value,0
CUST_02313,699.33,5,42,139.87,High Value,0
CUST_10844,694.28,5,15,138.86,High Value,0
CUST_03825,692.61,5,12,138.52,High Value,0
CUST_07844,687.3,5,21,137.46,High Value,1
CUST_04198,673.77,5,24,134.75,High Value,0
