CustomerID,Age,Gender,Country,RegistrationDate,AcquisitionChannel,EmailOpens,EmailClicks,AdImpressions,AdClicks,TotalSpent,NumberOfOrders,DaysSinceLastPurchase,EmailClickRate,AdClickRate,AvgOrderValue,CustomerSegment,Churned
CUST_00019,24,Female,USA,2023-01-02 02:16:55.884657054,Email,0,0,54,5,235.19,2,125,0.0,0.09259259259259259,117.595,Medium Value,1
CUST_00020,18,Female,Australia,2023-01-02 03:44:32.322693557,Google Ads,4,1,49,2,438.21,1,3,0.25,0.04081632653061224,438.21,Medium Value,0
CUST_00021,52,Female,USA,2023-01-02 05:12:08.760730060,Google Ads,1,1,52,3,232.55,4,18,1.0,0.057692307692307696,58.1375,Medium Value,0
CUST_00022,32,Male,USA,2023-01-02 06:39:45.198766563,Google Ads,0,0,58,4,220.55,6,5,0.0,0.06896551724137931,36.75833333333333,Medium Value,0
CUST_00023,35,Female,UK,2023-01-02 08:07:21.636803066,Email,4,1,49,1,519.89,4,24,0.25,0.02040816326530612,129.9725,High Value,0
CUST_00024,18,Female,USA,2023-01-02 09:34:58.074839569,Facebook Ads,1,1,42,3,635.75,8,23,1.0,0.07142857142857142,79.46875,High Value,1
CUST_00025,28,Female,Canada,2023-01-02 11:02:34.512876073,Direct,3,0,51,1,46.36,2,8,0.0,0.0196078431372549,23.18,Low Value,0
CUST_00026,36,Female,USA,2023-01-02 12:30:10.950912576,Referral,1,1,53,6,79.63,4,0,1.0,0.11320754716981132,19.9075,Low Value,0
CUST_00027,21,Female,Germany,2023-01-02 13:57:47.388949079,Referral,2,0,49,1,2.38,3,77,0.0,0.02040816326530612,0.7933333333333333,Low Value,0
CUST_00028,39,Male,UK,2023-01-02 15:25:23.826985582,Email,2,1,49,2,87.68,2,45,0.5,0.04081632653061224,43.84,Low Value,1
CUST_00029,27,Female,USA,2023-01-02 16:53:00.265022085,Referral,4,1,47,4,257.64,4,25,0.25,0.0851063829787234,64.41,Medium Value,0
CUST_00030,31,Male,USA,2023-01-02 18:20:36.703058588,Facebook Ads,2,2,47,2,742.36,3,4,1.0,0.0425531914893617,247.45333333333335,High Value,0
CUST_00031,27,Male,UK,2023-01-02 19:48:13.141095091,Email,3,0,50,2,2.68,1,6,0.0,0.04,2.68,Low Value,1
CUST_00032,57,Female,France,2023-01-02 21:15:49.579131594,Facebook Ads,6,2,56,1,24.5,3,12,0.3333333333333333,0.017857142857142856,8.166666666666666,Low Value,0
CUST_00033,34,Male,USA,2023-01-02 22:43:26.017168097,Google Ads,3,1,45,3,149.01,2,14,0.3333333333333333,0.06666666666666667,74.505,Medium Value,0
CUST_00034,22,Male,USA,2023-01-03 00:11:02.455204600,Google Ads,1,0,62,1,23.07,1,22,0.0,0.016129032258064516,23.07,Low Value,0
CUST_00035,44,Male,USA,2023-01-03 01:38:38.893241103,Email,2,0,52,3,10.27,3,12,0.0,0.057692307692307696,3.4233333333333333,Low Value,0
CUST_00036,20,Female,Germany,2023-01-03 03:06:15.331277606,Google Ads,3,0,60,1,117.28,4,42,0.0,0.016666666666666666,29.32,Medium Value,0
CUST_00037,37,Male,Japan,2023-01-03 04:33:51.769314109,Organic Search,3,1,59,1,253.78,3,40,0.3333333333333333,0.01694915254237288,84.59333333333333,Medium Value,0
CUST_00038,18,Female,USA,2023-01-03 06:01:28.207350612,Direct,2,0,34,2,81.68,2,3,0.0,0.058823529411764705,40.84,Low Value,1
CUST_00039,19,Male,USA,2023-01-03 07:29:04.645387115,Google Ads,3,0,53,2,45.8,4,43,0.0,0.03773584905660377,11.45,Low Value,0
CUST_00040,37,Female,USA,2023-01-03 08:56:41.083423618,Email,7,4,52,2,84.87,0,3,0.5714285714285714,0.038461538461538464,0.0,Low Value,0
CUST_00041,43,Male,USA,2023-01-03 10:24:17.521460121,Organic Search,2,1,43,1,27.94,3,12,0.5,0.023255813953488372,9.313333333333334,Low Value,0
CUST_00042,37,Female,Canada,2023-01-03 11:51:53.959496624,Facebook Ads,3,0,59,3,87.75,5,12,0.0,0.05084745762711865,17.55,Low Value,1
CUST_00043,33,Male,Australia,2023-01-03 13:19:30.397533127,Direct,6,1,42,2,135.95,2,44,0.16666666666666666,0.047619047619047616,67.975,Medium Value,0
CUST_00044,31,Female,USA,2023-01-03 14:47:06.835569630,Referral,7,2,55,1,15.31,1,19,0.2857142857142857,0.01818181818181818,15.31,Low Value,0
CUST_00045,18,Female,France,2023-01-03 16:14:43.273606133,Google Ads,0,0,51,3,159.08,3,15,0.0,0.058823529411764705,53.02666666666667,Medium Value,0
CUST_00046,26,Female,USA,2023-01-03 17:42:19.711642636,Google Ads,5,1,73,5,142.34,2,28,0.2,0.0684931506849315,71.17,Medium Value,0
CUST_00047,29,Female,France,2023-01-03 19:09:56.149679139,Direct,5,2,61,1,105.84,4,88,0.4,0.01639344262295082,26.46,Medium Value,1
CUST_00048,47,Male,Canada,2023-01-03 20:37:32.587715642,Direct,4,0,48,1,194.5,2,81,0.0,0.020833333333333332,97.25,Medium Value,0
CUST_00049,39,Female,USA,2023-01-03 22:05:09.025752146,Facebook Ads,4,1,60,4,543.15,3,2,0.25,0.06666666666666667,181.04999999999998,High Value,0
CUST_00050,18,Female,Japan,2023-01-03 23:32:45.463788649,Google Ads,1,0,40,2,78.77,4,10,0.0,0.05,19.6925,Low Value,0
CUST_00051,38,Female,USA,2023-01-04 01:00:21.901825152,Organic Search,0,0,48,2,28.53,1,4,0.0,0.041666666666666664,28.53,Low Value,0
CUST_00052,30,Female,UK,2023-01-04 02:27:58.339861655,Facebook Ads,4,0,45,1,269.07,4,107,0.0,0.022222222222222223,67.2675,Medium Value,0
CUST_00053,26,Female,Australia,2023-01-04 03:55:34.777898158,Direct,2,0,42,5,57.59,4,10,0.0,0.11904761904761904,14.3975,Low Value,0
CUST_00054,42,Other,USA,2023-01-04 05:23:11.215934661,Organic Search,6,2,58,2,257.87,2,9,0.3333333333333333,0.034482758620689655,128.935,Medium Value,0
CUST_00055,47,Male,UK,2023-01-04 06:50:47.653971164,Organic Search,5,2,41,3,64.9,2,0,0.4,0.07317073170731707,32.45,Low Value,0
CUST_00056,46,Female,France,2023-01-04 08:18:24.092007667,Facebook Ads,2,0,62,2,24.4,1,27,0.0,0.03225806451612903,24.4,Low Value,0
CUST_00057,24,Female,Japan,2023-01-04 09:46:00.530044170,Organic Search,6,3,54,2,1763.81,4,9,0.5,0.037037037037037035,440.9525,High Value,0
CUST_00058,31,Female,Germany,2023-01-04 11:13:36.968080673,Facebook Ads,0,0,56,5,151.09,3,52,0.0,0.08928571428571429,50.36333333333334,Medium Value,0
CUST_00059,38,Male,USA,2023-01-04 12:41:13.406117176,Google Ads,3,0,48,0,272.18,2,2,0.0,0.0,136.09,Medium Value,1
CUST_00060,46,Female,Germany,2023-01-04 14:08:49.844153679,Email,3,1,53,1,99.45,3,23,0.3333333333333333,0.018867924528301886,33.15,Low Value,1
CUST_00061,29,Female,Germany,2023-01-04 15:36:26.282190182,Email,7,5,35,2,476.99,1,18,0.7142857142857143,0.05714285714285714,476.99,Medium Value,0
CUST_00062,32,Male,Germany,2023-01-04 17:04:02.720226685,Organic Search,5,4,63,1,351.08,3,5,0.8,0.015873015873015872,117.02666666666666,Medium Value,0
CUST_00063,21,Female,Australia,2023-01-04 18:31:39.158263188,Referral,1,0,59,3,354.41,4,19,0.0,0.05084745762711865,88.6025,Medium Value,0
CUST_00064,20,Male,USA,2023-01-04 19:59:15.596299691,Facebook Ads,5,2,43,2,320.0,0,18,0.4,0.046511627906976744,0.0,Low Value,0
CUST_00065,44,Other,USA,2023-01-04 21:26:52.034336194,Facebook Ads,4,1,36,1,174.75,3,16,0.25,0.027777777777777776,58.25,Medium Value,0
CUST_00066,51,Male,UK,2023-01-04 22:54:28.472372697,Email,2,1,54,3,131.52,2,6,0.5,0.05555555555555555,65.76,Medium Value,0
CUST_00067,34,Male,Japan,2023-01-05 00:22:04.910409200,Facebook Ads,5,2,50,3,211.24,3,10,0.4,0.06,70.41333333333334,Medium Value,0
CUST_00068,47,Male,Canada,2023-01-05 01:49:41.348445703,Organic Search,3,1,61,1,64.2,3,27,0.3333333333333333,0.01639344262295082,21.400000000000002,Low Value,0
CUST_00069,39,Female,Japan,2023-01-05 03:17:17.786482206,Email,2,0,57,3,154.75,0,7,0.0,0.05263157894736842,0.0,Low Value,0
CUST_00070,27,Male,Japan,2023-01-05 04:44:54.224518709,Direct,4,2,54,4,227.66,3,7,0.5,0.07407407407407407,75.88666666666667,Medium Value,0
CUST_00071,39,Female,Australia,2023-01-05 06:12:30.662555212,Organic Search,7,2,51,2,19.23,0,12,0.2857142857142857,0.0392156862745098,0.0,Low Value,0
CUST_00072,53,Female,Australia,2023-01-05 07:40:07.100591716,Google Ads,3,1,59,0,282.21,1,20,0.3333333333333333,0.0,282.21,Medium Value,0
CUST_00073,34,Female,Australia,2023-01-05 09:07:43.538628219,Google Ads,1,1,43,2,128.19,4,22,1.0,0.046511627906976744,32.0475,Medium Value,0
CUST_00074,53,Male,France,2023-01-05 10:35:19.976664722,Facebook Ads,2,1,47,0,601.19,0,3,0.5,0.0,0.0,Low Value,0
CUST_00075,18,Other,Germany,2023-01-05 12:02:56.414701225,Facebook Ads,3,1,46,4,597.46,3,16,0.3333333333333333,0.08695652173913043,199.15333333333334,High Value,0
CUST_00076,44,Female,USA,2023-01-05 13:30:32.852737728,Facebook Ads,4,1,51,2,370.58,0,21,0.25,0.0392156862745098,0.0,Low Value,0
CUST_00077,36,Male,USA,2023-01-05 14:58:09.290774231,Google Ads,7,3,54,0,110.49,4,23,0.42857142857142855,0.0,27.6225,Medium Value,0
CUST_00078,31,Male,USA,2023-01-05 16:25:45.728810734,Direct,2,0,42,2,254.75,4,8,0.0,0.047619047619047616,63.6875,Medium Value,1
CUST_00079,36,Male,USA,2023-01-05 17:53:22.166847237,Google Ads,4,1,41,2,50.29,1,37,0.25,0.04878048780487805,50.29,Low Value,0
CUST_00080,18,Female,USA,2023-01-05 19:20:58.604883740,Organic Search,5,1,54,5,68.16,1,18,0.2,0.09259259259259259,68.16,Low Value,0
CUST_00081,32,Male,Australia,2023-01-05 20:48:35.042920243,Google Ads,0,0,54,1,172.22,3,21,0.0,0.018518518518518517,57.406666666666666,Medium Value,0
CUST_00082,39,Male,UK,2023-01-05 22:16:11.480956746,Facebook Ads,4,2,55,3,268.53,5,19,0.5,0.05454545454545454,53.705999999999996,Medium Value,0
CUST_00083,52,Female,USA,2023-01-05 23:43:47.918993249,Facebook Ads,5,1,48,2,114.72,2,29,0.2,0.041666666666666664,57.36,Medium Value,0
CUST_00084,28,Female,France,2023-01-06 01:11:24.357029752,Facebook Ads,5,1,45,1,310.88,3,3,0.2,0.022222222222222223,103.62666666666667,Medium Value,0
CUST_00085,25,Female,Canada,2023-01-06 02:39:00.795066255,Email,4,1,72,7,202.61,2,9,0.25,0.09722222222222222,101.305,Medium Value,0
CUST_00086,28,Female,USA,2023-01-06 04:06:37.233102758,Organic Search,2,1,50,2,76.12,2,8,0.5,0.04,38.06,Low Value,1
CUST_00087,45,Male,Australia,2023-01-06 05:34:13.671139261,Email,4,0,52,3,65.78,2,40,0.0,0.057692307692307696,32.89,Low Value,0
CUST_00088,38,Female,USA,2023-01-06 07:01:50.109175764,Organic Search,1,0,36,3,311.05,2,13,0.0,0.08333333333333333,155.525,Medium Value,0
CUST_00089,28,Male,Germany,2023-01-06 08:29:26.547212267,Referral,1,0,57,4,71.28,4,2,0.0,0.07017543859649122,17.82,Low Value,0
CUST_00090,41,Female,USA,2023-01-06 09:57:02.985248770,Referral,4,2,42,1,47.9,3,28,0.5,0.023809523809523808,15.966666666666667,Low Value,0
CUST_00091,36,Female,Canada,2023-01-06 11:24:39.423285273,Organic Search,1,1,55,2,261.41,5,24,1.0,0.03636363636363636,52.282000000000004,Medium Value,0
CUST_00092,46,Male,France,2023-01-06 12:52:15.861321776,Google Ads,1,0,46,4,13.39,0,50,0.0,0.08695652173913043,0.0,Low Value,0
CUST_00093,26,Female,USA,2023-01-06 14:19:52.299358279,Direct,1,1,63,5,47.59,2,3,1.0,0.07936507936507936,23.795,Low Value,0
CUST_00094,31,Female,Japan,2023-01-06 15:47:28.737394782,Direct,4,1,49,1,377.44,3,3,0.25,0.02040816326530612,125.81333333333333,Medium Value,0
CUST_00095,30,Male,USA,2023-01-06 17:15:05.175431285,Organic Search,2,0,55,3,156.5,2,15,0.0,0.05454545454545454,78.25,Medium Value,0
CUST_00096,18,Female,Canada,2023-01-06 18:42:41.613467789,Email,2,0,39,3,156.72,1,35,0.0,0.07692307692307693,156.72,Medium Value,0
CUST_00097,38,Female,Australia,2023-01-06 20:10:18.051504292,Facebook Ads,1,0,54,3,390.43,1,26,0.0,0.05555555555555555,390.43,Medium Value,0
CUST_00098,38,Female,Japan,2023-01-06 21:37:54.489540795,Organic Search,1,0,50,1,334.71,4,28,0.0,0.02,83.6775,Medium Value,0
CUST_00099,35,Female,USA,2023-01-06 23:05:30.927577298,Referral,3,1,49,4,308.08,1,7,0.3333333333333333,0.08163265306122448,308.08,Medium Value,1
CUST_00100,32,Female,USA,2023-01-07 00:33:07.365613801,Organic Search,2,0,45,4,87.81,0,20,0.0,0.08888888888888889,0.0,Low Value,0
CUST_00101,18,Male,Germany,2023-01-07 02:00:43.803650304,Organic Search,5,0,55,5,44.17,2,32,0.0,0.09090909090909091,22.085,Low Value,0
CUST_00102,29,Male,USA,2023-01-07 03:28:20.241686807,Google Ads,6,2,52,4,157.96,2,40,0.3333333333333333,0.07692307692307693,78.98,Medium Value,0
CUST_00103,30,Male,Canada,2023-01-07 04:55:56.679723310,Facebook Ads,3,1,51,3,161.9,3,64,0.3333333333333333,0.058823529411764705,53.96666666666667,Medium Value,0
CUST_00104,25,Male,France,2023-01-07 06:23:33.117759813,Organic Search,1,0,41,2,9.48,3,25,0.0,0.04878048780487805,3.16,Low Value,0
CUST_00105,33,Female,UK,2023-01-07 07:51:09.555796316,Google Ads,2,1,63,9,108.94,0,20,0.5,0.14285714285714285,0.0,Low Value,0
CUST_00106,39,Male,USA,2023-01-07 09:18:45.993832819,Organic Search,6,2,51,6,154.14,1,54,0.3333333333333333,0.11764705882352941,154.14,Medium Value,0
CUST_00107,57,Male,Canada,2023-01-07 10:46:22.431869322,Organic Search,6,2,58,3,133.24,1,38,0.3333333333333333,0.05172413793103448,133.24,Medium Value,0
CUST_00108,37,Male,Australia,2023-01-07 12:13:58.869905825,Facebook Ads,1,0,50,3,811.74,4,19,0.0,0.06,202.935,High Value,0
CUST_00109,38,Female,UK,2023-01-07 13:41:35.307942328,Google Ads,4,1,41,1,47.63,1,9,0.25,0.024390243902439025,47.63,Low Value,1
CUST_00110,34,Female,Germany,2023-01-07 15:09:11.745978831,Referral,6,3,53,1,34.26,3,1,0.5,0.018867924528301886,11.42,Low Value,0
CUST_00111,18,Male,USA,2023-01-07 16:36:48.184015334,Google Ads,4,2,59,5,427.83,3,1,0.5,0.0847457627118644,142.60999999999999,Medium Value,0
CUST_00112,34,Female,USA,2023-01-07 18:04:24.622051837,Facebook Ads,2,0,44,0,550.28,1,10,0.0,0.0,550.28,Medium Value,0
CUST_00113,35,Male,USA,2023-01-07 19:32:01.060088340,Organic Search,6,3,46,3,393.93,1,56,0.5,0.06521739130434782,393.93,Medium Value,0
CUST_00114,64,Female,Canada,2023-01-07 20:59:37.498124843,Referral,1,0,46,4,460.39,3,4,0.0,0.08695652173913043,153.46333333333334,Medium Value,0
CUST_00115,32,Male,USA,2023-01-07 22:27:13.936161346,Referral,5,3,55,4,137.93,0,5,0.6,0.07272727272727272,0.0,Low Value,0
CUST_00116,38,Female,Canada,2023-01-07 23:54:50.374197849,Email,3,1,47,4,435.03,2,13,0.3333333333333333,0.0851063829787234,217.515,Medium Value,1
CUST_00117,34,Female,Germany,2023-01-08 01:22:26.812234352,Email,2,1,62,2,137.51,4,47,0.5,0.03225806451612903,34.3775,Medium Value,0
CUST_00118,20,Female,Germany,2023-01-08 02:50:03.250270855,Referral,1,0,52,4,98.19,2,44,0.0,0.07692307692307693,49.095,Low Value,0
CUST_00119,48,Male,USA,2023-01-08 04:17:39.688307359,Email,3,0,51,3,39.71,3,22,0.0,0.058823529411764705,13.236666666666666,Low Value,0
CUST_00120,44,Female,Germany,2023-01-08 05:45:16.126343862,Email,1,0,56,7,288.39,4,59,0.0,0.125,72.0975,Medium Value,0
CUST_00121,44,Female,Germany,2023-01-08 07:12:52.564380365,Facebook Ads,2,0,38,4,179.24,6,19,0.0,0.10526315789473684,29.873333333333335,Medium Value,0
CUST_00122,24,Female,USA,2023-01-08 08:40:29.002416868,Facebook Ads,0,0,46,0,90.76,3,0,0.0,0.0,30.253333333333334,Low Value,0
CUST_00123,51,Male,USA,2023-01-08 10:08:05.440453371,Email,2,2,43,1,5.91,2,5,1.0,0.023255813953488372,2.955,Low Value,0
CUST_00124,18,Male,UK,2023-01-08 11:35:41.878489874,Facebook Ads,1,0,62,9,222.27,4,0,0.0,0.14516129032258066,55.5675,Medium Value,1
CUST_00125,42,Female,USA,2023-01-08 13:03:18.316526377,Facebook Ads,5,3,51,3,241.77,2,4,0.6,0.058823529411764705,120.885,Medium Value,0
CUST_00126,61,Male,USA,2023-01-08 14:30:54.754562880,Direct,4,0,45,0,16.19,6,1,0.0,0.0,2.6983333333333337,Low Value,1
CUST_00127,23,Male,USA,2023-01-08 15:58:31.192599383,Facebook Ads,5,1,56,2,169.52,2,2,0.2,0.03571428571428571,84.76,Medium Value,0
CUST_00128,28,Male,USA,2023-01-08 17:26:07.630635886,Facebook Ads,8,2,54,2,96.57,3,7,0.25,0.037037037037037035,32.19,Low Value,0
CUST_00129,36,Female,Japan,2023-01-08 18:53:44.068672389,Facebook Ads,1,0,62,1,214.06,1,41,0.0,0.016129032258064516,214.06,Medium Value,0
CUST_00130,28,Male,Germany,2023-01-08 20:21:20.506708892,Email,1,1,50,3,86.77,1,34,1.0,0.06,86.77,Low Value,0
CUST_00131,18,Female,Canada,2023-01-08 21:48:56.944745395,Direct,2,1,55,6,260.41,2,14,0.5,0.10909090909090909,130.205,Medium Value,0
CUST_00132,35,Male,Japan,2023-01-08 23:16:33.382781898,Organic Search,1,1,53,3,28.15,2,8,1.0,0.05660377358490566,14.075,Low Value,1
CUST_00133,22,Male,UK,2023-01-09 00:44:09.820818401,Referral,3,0,47,4,62.1,2,46,0.0,0.0851063829787234,31.05,Low Value,0
CUST_00134,40,Male,Germany,2023-01-09 02:11:46.258854904,Referral,0,0,43,4,214.5,2,3,0.0,0.09302325581395349,107.25,Medium Value,0
CUST_00135,23,Male,USA,2023-01-09 03:39:22.696891407,Direct,4,0,42,5,333.86,3,15,0.0,0.11904761904761904,111.28666666666668,Medium Value,0
CUST_00136,53,Female,UK,2023-01-09 05:06:59.134927910,Google Ads,3,1,50,4,290.77,2,23,0.3333333333333333,0.08,145.385,Medium Value,0
CUST_00137,25,Female,USA,2023-01-09 06:34:35.572964413,Email,2,0,52,3,119.26,3,10,0.0,0.057692307692307696,39.75333333333334,Medium Value,0
CUST_00138,31,Female,Canada,2023-01-09 08:02:12.011000916,Facebook Ads,3,2,52,1,71.94,1,3,0.6666666666666666,0.019230769230769232,71.94,Low Value,0
CUST_00139,44,Male,USA,2023-01-09 09:29:48.449037419,Facebook Ads,1,0,44,0,108.55,2,17,0.0,0.0,54.275,Medium Value,0
CUST_00140,20,Female,USA,2023-01-09 10:57:24.887073922,Organic Search,2,0,59,4,117.82,2,22,0.0,0.06779661016949153,58.91,Medium Value,0
CUST_00141,37,Female,USA,2023-01-09 12:25:01.325110425,Facebook Ads,1,0,44,1,24.53,3,12,0.0,0.022727272727272728,8.176666666666668,Low Value,0
CUST_00142,50,Female,USA,2023-01-09 13:52:37.763146928,Organic Search,4,1,43,2,47.02,4,14,0.25,0.046511627906976744,11.755,Low Value,0
CUST_00143,18,Female,France,2023-01-09 15:20:14.201183432,Facebook Ads,2,0,48,4,48.55,1,59,0.0,0.08333333333333333,48.55,Low Value,1
CUST_00144,37,Male,USA,2023-01-09 16:47:50.639219935,Facebook Ads,5,2,50,3,63.27,3,32,0.4,0.06,21.09,Low Value,0
CUST_00145,38,Female,France,2023-01-09 18:15:27.077256438,Facebook Ads,1,1,57,4,138.67,4,71,1.0,0.07017543859649122,34.6675,Medium Value,0
CUST_00146,44,Male,UK,2023-01-09 19:43:03.515292941,Referral,3,0,36,2,55.99,5,63,0.0,0.05555555555555555,11.198,Low Value,0
CUST_00147,20,Male,Canada,2023-01-09 21:10:39.953329444,Organic Search,3,2,60,2,427.94,1,46,0.6666666666666666,0.03333333333333333,427.94,Medium Value,0
CUST_00148,19,Female,USA,2023-01-09 22:38:16.391365947,Direct,6,3,56,4,494.15,1,75,0.5,0.07142857142857142,494.15,Medium Value,0
CUST_00149,41,Female,Australia,2023-01-10 00:05:52.829402450,Referral,4,2,53,3,861.54,4,4,0.5,0.05660377358490566,215.385,High Value,0
CUST_00150,38,Female,USA,2023-01-10 01:33:29.267438953,Email,1,1,45,2,36.21,2,41,1.0,0.044444444444444446,18.105,Low Value,0
CUST_00151,38,Male,Germany,2023-01-10 03:01:05.705475456,Google Ads,5,3,53,3,257.92,2,1,0.6,0.05660377358490566,128.96,Medium Value,0
CUST_00152,39,Male,UK,2023-01-10 04:28:42.143511959,Organic Search,2,0,53,0,425.1,1,46,0.0,0.0,425.1,Medium Value,0
CUST_00153,26,Male,Canada,2023-01-10 05:56:18.581548462,Organic Search,2,1,48,3,13.11,0,58,0.5,0.0625,0.0,Low Value,0
CUST_00154,37,Female,USA,2023-01-10 07:23:55.019584965,Email,3,2,58,4,345.12,4,42,0.6666666666666666,0.06896551724137931,86.28,Medium Value,0
CUST_00155,38,Male,Canada,2023-01-10 08:51:31.457621468,Google Ads,1,0,63,4,177.88,5,65,0.0,0.06349206349206349,35.576,Medium Value,0
CUST_00156,26,Female,Australia,2023-01-10 10:19:07.895657971,Email,1,0,46,2,71.92,2,16,0.0,0.043478260869565216,35.96,Low Value,0
CUST_00157,57,Male,France,2023-01-10 11:46:44.333694474,Facebook Ads,3,2,49,0,176.24,1,42,0.6666666666666666,0.0,176.24,Medium Value,1
CUST_00158,40,Female,Japan,2023-01-10 13:14:20.771730977,Direct,2,0,54,3,154.18,3,13,0.0,0.05555555555555555,51.39333333333334,Medium Value,0
CUST_00159,20,Female,USA,2023-01-10 14:41:57.209767480,Organic Search,4,1,55,4,284.2,4,5,0.25,0.07272727272727272,71.05,Medium Value,0
CUST_00160,42,Male,USA,2023-01-10 16:09:33.647803983,Facebook Ads,1,1,48,2,44.69,4,11,1.0,0.041666666666666664,11.1725,Low Value,1
CUST_00161,23,Male,USA,2023-01-10 17:37:10.085840486,Google Ads,4,1,42,2,47.22,3,7,0.25,0.047619047619047616,15.74,Low Value,0
CUST_00162,44,Female,Japan,2023-01-10 19:04:46.523876989,Organic Search,2,0,53,1,17.88,1,23,0.0,0.018867924528301886,17.88,Low Value,0
CUST_00163,48,Female,USA,2023-01-10 20:32:22.961913492,Organic Search,3,2,52,3,175.9,1,7,0.6666666666666666,0.057692307692307696,175.9,Medium Value,0
CUST_00164,25,Female,Canada,2023-01-10 21:59:59.399949995,Email,3,2,56,4,258.91,4,95,0.6666666666666666,0.07142857142857142,64.7275,Medium Value,1
CUST_00165,46,Female,Australia,2023-01-10 23:27:35.837986498,Organic Search,4,2,48,3,136.99,4,24,0.5,0.0625,34.2475,Medium Value,0
CUST_00166,39,Male,Canada,2023-01-11 00:55:12.276023001,Organic Search,5,2,62,4,158.87,5,0,0.4,0.06451612903225806,31.774,Medium Value,0
CUST_00167,44,Female,UK,2023-01-11 02:22:48.714059505,Facebook Ads,1,0,51,4,71.57,2,59,0.0,0.0784313725490196,35.785,Low Value,0
CUST_00168,57,Male,USA,2023-01-11 03:50:25.152096008,Direct,2,1,38,4,119.64,2,35,0.5,0.10526315789473684,59.82,Medium Value,0
CUST_00169,32,Female,Canada,2023-01-11 05:18:01.590132511,Email,4,1,56,3,399.77,1,16,0.25,0.05357142857142857,399.77,Medium Value,1
CUST_00170,25,Male,Australia,2023-01-11 06:45:38.028169014,Google Ads,3,1,56,1,393.42,3,7,0.3333333333333333,0.017857142857142856,131.14000000000001,Medium Value,0
CUST_00171,24,Female,UK,2023-01-11 08:13:14.466205517,Facebook Ads,7,1,46,1,351.75,2,30,0.14285714285714285,0.021739130434782608,175.875,Medium Value,0
CUST_00172,25,Male,USA,2023-01-11 09:40:50.904242020,Google Ads,6,1,55,4,26.28,2,14,0.16666666666666666,0.07272727272727272,13.14,Low Value,1
